"","x"
"age1",0.302900388389269
"age2",-4.22565020658201
"eGFR1",2.20014418656064
"eGFR2",-19.3094210305047
"acr1",0.00567202396125315
"acr2",0.342234580404516
"male",0.52208715588814
"diabetic1",0.785136319669734
"black_ethnicity",0.227325295396808
"asian_ethnicity",0.310993852449543
"mixed_ethnicity",0.0206765753455209
"other_ethnicity",0.327495457406984
"unknown_ethnicity",-1.00137111577048
